accepted_name,taxon_name,reported_names,genus,family,subfamily,taxon_rank,accepted_name_authorship,taxon_id,accepted_taxon_id,taxa_taxon_list_id,occurrence_count,location_count,location_ids,location_names,cd_nom,cd_ref,taxref_scientific_name,taxref_accepted_name,taxref_rank,taxref_family,taxref_order,taxref_status,taxref_vernacular_fr,taxref_match_type,taxref_match_note,inpn_url
Rivula sericealis,Rivula sericealis,Rivula sericealis,Rivula,Erebidae,Rivulinae,Species,"(SCOPOLI, 1763)",EBMSM0000000012641,EBMSM0000000012641,458873,4,3,396710 | 396712 | 396715,Piège 1 - cariçaie - marais de Saône | Piège 2 - aulnaie - marais de Saône | Piège 2 - boisement feuillus - Sauvagney,249120,249120,"Rivula sericealis (Scopoli, 1763)","Rivula sericealis (Scopoli, 1763)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249120
Scoliopteryx libatrix,Scoliopteryx libatrix,Scoliopteryx libatrix,Scoliopteryx,Erebidae,Scoliopteryginae,Species,"(LINNAEUS, 1758)",EBMSM0000000012637,EBMSM0000000012637,458869,2,2,394742 | 397630,Vernay 1 | Maire 2,249785,249785,"Scoliopteryx libatrix (Linnaeus, 1758)","Scoliopteryx libatrix (Linnaeus, 1758)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249785
Setina irrorella,Setina irrorella,Setina irrorella,Setina,Erebidae,Arctiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012875,EBMSM0000000012875,459107,2,2,395878 | 399051,Piège 1 - boisement feuillus jeunes - Sauvagney | Solanetta_rnn_mantet,249088,249088,"Setina irrorella (Linnaeus, 1758)","Setina irrorella (Linnaeus, 1758)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249088
Sphrageidus similis,Sphrageidus similis,Sphrageidus similis,Sphrageidus,Erebidae,Lymantriinae,Species,"(FUESSLIN, 1775)",EBMSM0000000012689,EBMSM0000000012689,458921,3,3,394742 | 396712 | 397631,Vernay 1 | Piège 2 - aulnaie - marais de Saône | Vernay 2,784182,784182,"Sphrageidus similis (Fuessly, 1775)","Sphrageidus similis (Fuessly, 1775)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/784182
Spilarctia lutea,Spilarctia lutea,Spilarctia lutea,Spilarctia,Erebidae,Arctiinae,Species,"(HUFNAGEL, 1766)",EBMSM0000000012738,EBMSM0000000012738,458970,16,13,395447 | 395812 | 395813 | 395877 | 395878 | 396584 | 396712 | 396714 | 396715 | 397620 | 397629 | 397630 | 397631,Sur Mancy (Macornay) | La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Piège 2 - boisement feuillus - Sauvagney | Piège 1 - boisement feuillus jeunes - Sauvagney | Montmain 1 | Piège 2 - aulnaie - marais de Saône | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Mesves_IDB1 | Maire 1 | Maire 2 | Vernay 2,459069,459069,"Spilarctia lutea (Hufnagel, 1766)","Spilarctia lutea (Hufnagel, 1766)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/459069
Spilosoma lubricipeda,Spilosoma lubricipeda,Spilosoma lubricipeda,Spilosoma,Erebidae,Arctiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012740,EBMSM0000000012740,458972,17,15,394742 | 395441 | 395768 | 395812 | 395813 | 395877 | 395878 | 396022 | 396416 | 396585 | 396710 | 396712 | 396714 | 397620 | 397624,Vernay 1 | côte de Mancy (Lons-le-Saunier) | ZA 2 vide | La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Piège 2 - boisement feuillus - Sauvagney | Piège 1 - boisement feuillus jeunes - Sauvagney | Remoray forêt2 oeufs | Varennes 2 | Montmain 2 | Piège 1 - cariçaie - marais de Saône | Piège 2 - aulnaie - marais de Saône | Piège 1 - boisement feuillus jeunes - Sauvagney | Mesves_IDB1 | Mesves_IDB2,249068,249068,"Spilosoma lubricipeda (Linnaeus, 1758)","Spilosoma lubricipeda (Linnaeus, 1758)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249068
Spilosoma urticae,Spilosoma urticae,Spilosoma urticae,Spilosoma,Erebidae,Arctiinae,Species,"(ESPER, 1789)",EBMSM0000000012742,EBMSM0000000012742,458974,1,1,395768,ZA 2 vide,249069,249069,"Spilosoma urticae (Esper, 1789)","Spilosoma urticae (Esper, 1789)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249069
Thumatha senex,Thumatha senex,Thumatha senex,Thumatha,Erebidae,Arctiinae,Species,"(HÜBNER, [1803-1808])",EBMSM0000000012822,EBMSM0000000012822,459054,1,1,396795,Bure - sans-oeuf,249113,249113,"Thumatha senex (Hübner, 1808)","Thumatha senex (Hübner, 1808)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249113
Trisateles emortualis,Trisateles emortualis,Trisateles emortualis,Trisateles,Erebidae,Boletobiinae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000013000,EBMSM0000000013000,459232,4,4,396584 | 396714 | 396715 | 396795,Montmain 1 | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Bure - sans-oeuf,249672,249672,"Trisateles emortualis (Denis & Schiffermüller, 1775)","Trisateles emortualis (Denis & Schiffermüller, 1775)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249672
Tyria jacobaeae,Tyria jacobaeae,Tyria jacobaeae,Tyria,Erebidae,Arctiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012817,EBMSM0000000012817,459049,2,2,396416 | 396795,Varennes 2 | Bure - sans-oeuf,249051,249051,"Tyria jacobaeae (Linnaeus, 1758)","Tyria jacobaeae (Linnaeus, 1758)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249051
Watsonarctia deserta,Watsonarctia deserta,Watsonarctia deserta,Watsonarctia,Erebidae,Arctiinae,Species,"(BARTEL, 1902)",EBMSM0000000012728,EBMSM0000000012728,458960,6,3,395441 | 398134 | 399055,côte de Mancy (Lons-le-Saunier) | THALERA_EYNE_2_boite_oeuf | Sous_col_mantet,521547,521547,"Watsonarctia deserta (Bartel, 1902)","Watsonarctia deserta (Bartel, 1902)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/521547
Zanclognatha lunalis,Zanclognatha lunalis,Zanclognatha lunalis,Zanclognatha,Erebidae,Herminiinae,Species,"(SCOPOLI, 1763)",EBMSM0000000012925,EBMSM0000000012925,459157,4,4,395812 | 395813 | 395886 | 396714,La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Comolle 2 | Piège 1 - boisement feuillus jeunes - Sauvagney,249300,249300,"Zanclognatha lunalis (Scopoli, 1763)","Zanclognatha lunalis (Scopoli, 1763)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249300
Chionodes electella,Chionodes electella,Chionodes electella,Chionodes,Gelechiidae,Gelechiinae,Species,"(ZELLER, 1839)",EBMSM0000000006643,EBMSM0000000006643,452875,1,1,395441,côte de Mancy (Lons-le-Saunier),246843,246843,"Chionodes electella (Zeller, 1839)","Chionodes electella (Zeller, 1839)",species,Gelechiidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/246843
Dichomeris marginella,Dichomeris marginella,Dichomeris marginella,Dichomeris,Gelechiidae,Dichomeridinae,Species,"(FABRICIUS, 1781)",EBMSM0000000007052,EBMSM0000000007052,453284,1,1,395764,Voutenay_Thalsansoeufs02,246654,246654,"Dichomeris marginella (Fabricius, 1781)","Dichomeris marginella (Fabricius, 1781)",species,Gelechiidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/246654
Helcystogramma lutatella,Helcystogramma lutatella,Helcystogramma lutatella,Helcystogramma,Gelechiidae,Dichomeridinae,Species,"(HERRICH-SCHÄFFER, [1854])",EBMSM0000000007072,EBMSM0000000007072,453304,1,1,399051,Solanetta_rnn_mantet,246643,246643,"Helcystogramma lutatella (Herrich-Schäffer, 1854)","Helcystogramma lutatella (Herrich-Schäffer, 1854)",species,Gelechiidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/246643
Neofaculta infernella,Neofaculta infernella,Neofaculta infernella,Neofaculta,Gelechiidae,Gelechiinae,Species,"(HERRICH-SCHÄFFER, [1854])",EBMSM0000000007041,EBMSM0000000007041,453273,1,1,396020,Remoray forêt1 vide,247020,247020,"Neofaculta infernella (Herrich-Schäffer, 1854)","Neofaculta infernella (Herrich-Schäffer, 1854)",species,Gelechiidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/247020
Abraxas grossulariata,Abraxas grossulariata,Abraxas grossulariata,Abraxas,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011000,EBMSM0000000011000,457232,6,6,395812 | 396416 | 396584 | 396585 | 396712 | 396800,La Truchère_dunes_boite_oeuf | Varennes 2 | Montmain 1 | Montmain 2 | Piège 2 - aulnaie - marais de Saône | Bure - Oeuf,248830,248830,"Abraxas grossulariata (Linnaeus, 1758)","Abraxas grossulariata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248830
Aethalura punctulata,Aethalura punctulata,Aethalura punctulata,Aethalura,Geometridae,Ennominae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000011468,EBMSM0000000011468,457700,5,3,394742 | 396584 | 397631,Vernay 1 | Montmain 1 | Vernay 2,248868,248868,"Aethalura punctulata (Denis & Schiffermüller, 1775)","Aethalura punctulata (Denis & Schiffermüller, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248868
Agriopis marginaria,Agriopis marginaria,Agriopis marginaria,Agriopis,Geometridae,Ennominae,Species,"(FABRICIUS, [1777])",EBMSM0000000011348,EBMSM0000000011348,457580,3,3,395764 | 395812 | 396712,Voutenay_Thalsansoeufs02 | La Truchère_dunes_boite_oeuf | Piège 2 - aulnaie - marais de Saône,248850,781849,"Agriopis marginaria (Fabricius, 1777)","Phigaliohybernia marginaria (Fabricius, 1777)",species,Geometridae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248850
Alcis repandata,Alcis repandata,Alcis repandata,Alcis,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011438,EBMSM0000000011438,457670,14,12,395764 | 395768 | 395885 | 395886 | 396022 | 396584 | 396585 | 396714 | 396715 | 397629 | 397630 | 399051,Voutenay_Thalsansoeufs02 | ZA 2 vide | Comolle 1 | Comolle 2 | Remoray forêt2 oeufs | Montmain 1 | Montmain 2 | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Maire 1 | Maire 2 | Solanetta_rnn_mantet,248880,248880,"Alcis repandata (Linnaeus, 1758)","Alcis repandata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248880
Aleucis distinctata,Aleucis distinctata,Aleucis distinctata,Aleucis,Geometridae,Ennominae,Species,"(HERRICH-SCHÄFFER, 1839)",EBMSM0000000011172,EBMSM0000000011172,457404,1,1,396416,Varennes 2,248843,248843,"Aleucis distinctata (Herrich-Schäffer, 1839)","Aleucis distinctata (Herrich-Schäffer, 1839)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248843
Angerona prunaria,Angerona prunaria,Angerona prunaria,Angerona,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011273,EBMSM0000000011273,457505,12,12,395441 | 395447 | 395812 | 395813 | 395877 | 395878 | 396584 | 396585 | 396714 | 396715 | 396800 | 397624,côte de Mancy (Lons-le-Saunier) | Sur Mancy (Macornay) | La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Piège 2 - boisement feuillus - Sauvagney | Piège 1 - boisement feuillus jeunes - Sauvagney | Montmain 1 | Montmain 2 | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Bure - Oeuf | Mesves_IDB2,248833,248833,"Angerona prunaria (Linnaeus, 1758)","Angerona prunaria (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248833
Anticlea derivata,Anticlea derivata,Anticlea derivata,Anticlea,Geometridae,Larentiinae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000011979,EBMSM0000000011979,458211,2,2,395447 | 396020,Sur Mancy (Macornay) | Remoray forêt1 vide,248695,248695,"Anticlea derivata (Denis & Schiffermüller, 1775)","Anticlea derivata (Denis & Schiffermüller, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248695
Anticollix sparsata,Anticollix sparsata,Anticollix sparsata,Anticollix,Geometridae,Larentiinae,Species,"(TREITSCHKE, 1828)",EBMSM0000000012212,EBMSM0000000012212,458444,1,1,396712,Piège 2 - aulnaie - marais de Saône,248709,248709,"Anticollix sparsata (Treitschke, 1828)","Anticollix sparsata (Treitschke, 1828)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248709
Apeira syringaria,Apeira syringaria,Apeira syringaria,Apeira,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011111,EBMSM0000000011111,457343,4,4,396020 | 396714 | 396715 | 397631,Remoray forêt1 vide | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Vernay 2,248933,248933,"Apeira syringaria (Linnaeus, 1758)","Apeira syringaria (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248933
Aplocera efformata,Aplocera efformata,Aplocera efformata,Aplocera,Geometridae,Larentiinae,Species,"(GUENÉE, 1857)",EBMSM0000000012230,EBMSM0000000012230,458462,1,1,397630,Maire 2,248535,248535,"Aplocera efformata (Guenée, 1858)","Aplocera efformata (Guenée, 1858)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248535
Aplocera plagiata,Aplocera plagiata,Aplocera plagiata,Aplocera,Geometridae,Larentiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012227,EBMSM0000000012227,458459,4,4,394742 | 395441 | 396795 | 399055,Vernay 1 | côte de Mancy (Lons-le-Saunier) | Bure - sans-oeuf | Sous_col_mantet,248534,248534,"Aplocera plagiata (Linnaeus, 1758)","Aplocera plagiata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248534
Asthena albulata,Asthena albulata,Asthena albulata,Asthena,Geometridae,Larentiinae,Species,"(HUFNAGEL, 1767)",EBMSM0000000012141,EBMSM0000000012141,458373,9,6,395877 | 395878 | 396584 | 396585 | 396714 | 396715,Piège 2 - boisement feuillus - Sauvagney | Piège 1 - boisement feuillus jeunes - Sauvagney | Montmain 1 | Montmain 2 | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney,248520,248520,"Asthena albulata (Hufnagel, 1767)","Asthena albulata (Hufnagel, 1767)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248520
Biston betularia,Biston betularia,Biston betularia,Biston,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011335,EBMSM0000000011335,457567,1,1,399055,Sous_col_mantet,248853,248853,"Biston betularia (Linnaeus, 1758)","Biston betularia (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248853
Biston strataria,Biston strataria,Biston strataria,Biston,Geometridae,Ennominae,Species,"(HUFNAGEL, 1767)",EBMSM0000000011333,EBMSM0000000011333,457565,1,1,395725,Voutenay_ThalOeufs,248852,248852,"Biston strataria (Hufnagel, 1767)","Biston strataria (Hufnagel, 1767)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248852
Bupalus piniaria,Bupalus piniaria,Bupalus piniaria,Bupalus,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011491,EBMSM0000000011491,457723,3,2,397624 | 397629,Mesves_IDB2 | Maire 1,248911,248911,"Bupalus piniaria (Linnaeus, 1758)","Bupalus piniaria (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248911
Cabera exanthemata,Cabera exanthemata,Cabera exanthemata,Cabera,Geometridae,Ennominae,Species,"(SCOPOLI, 1763)",EBMSM0000000011163,EBMSM0000000011163,457395,11,8,394742 | 395767 | 395813 | 395877 | 396710 | 396712 | 396715 | 396795,Vernay 1 | ZA 1 Oeufs | La Truchère_tourbière | Piège 2 - boisement feuillus - Sauvagney | Piège 1 - cariçaie - marais de Saône | Piège 2 - aulnaie - marais de Saône | Piège 2 - boisement feuillus - Sauvagney | Bure - sans-oeuf,248913,248913,"Cabera exanthemata (Scopoli, 1763)","Cabera exanthemata (Scopoli, 1763)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248913
Cabera pusaria,Cabera pusaria,Cabera pusaria,Cabera,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011159,EBMSM0000000011159,457391,20,11,395813 | 396020 | 396584 | 396585 | 396712 | 396714 | 396715 | 397624 | 397629 | 397630 | 397631,La Truchère_tourbière | Remoray forêt1 vide | Montmain 1 | Montmain 2 | Piège 2 - aulnaie - marais de Saône | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Mesves_IDB2 | Maire 1 | Maire 2 | Vernay 2,248912,248912,"Cabera pusaria (Linnaeus, 1758)","Cabera pusaria (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248912
Campaea margaritaria,Campaea margaritaria,Campaea margaritaria,Campaea,Geometridae,Ennominae,Species,"(LINNAEUS, 1761)",EBMSM0000000011180,EBMSM0000000011180,457412,23,16,394742 | 395441 | 395764 | 395812 | 395878 | 396020 | 396022 | 396584 | 396585 | 396712 | 396714 | 396715 | 397620 | 397629 | 397630 | 397631,Vernay 1 | côte de Mancy (Lons-le-Saunier) | Voutenay_Thalsansoeufs02 | La Truchère_dunes_boite_oeuf | Piège 1 - boisement feuillus jeunes - Sauvagney | Remoray forêt1 vide | Remoray forêt2 oeufs | Montmain 1 | Montmain 2 | Piège 2 - aulnaie - marais de Saône | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Mesves_IDB1 | Maire 1 | Maire 2 | Vernay 2,248918,248918,"Campaea margaritaria (Linnaeus, 1761)","Campaea margaritaria (Linnaeus, 1761)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248918
Camptogramma bilineata,Camptogramma bilineata,Camptogramma bilineata,Camptogramma,Geometridae,Larentiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000011939,EBMSM0000000011939,458171,7,7,395441 | 395812 | 396584 | 396585 | 396714 | 396715 | 397629,côte de Mancy (Lons-le-Saunier) | La Truchère_dunes_boite_oeuf | Montmain 1 | Montmain 2 | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Maire 1,248765,248765,"Camptogramma bilineata (Linnaeus, 1758)","Camptogramma bilineata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248765
Catarhoe cuculata,Catarhoe cuculata,Catarhoe cuculata,Catarhoe,Geometridae,Larentiinae,Species,"(HUFNAGEL, 1767)",EBMSM0000000011932,EBMSM0000000011932,458164,1,1,399055,Sous_col_mantet,248781,248781,"Catarhoe cuculata (Hufnagel, 1767)","Catarhoe cuculata (Hufnagel, 1767)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248781
Catarhoe rubidata,Catarhoe rubidata,Catarhoe rubidata,Catarhoe,Geometridae,Larentiinae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000011934,EBMSM0000000011934,458166,4,4,395764 | 395885 | 396414 | 396416,Voutenay_Thalsansoeufs02 | Comolle 1 | Varennes 1 | Varennes 2,248782,248782,"Catarhoe rubidata (Denis & Schiffermüller, 1775)","Catarhoe rubidata (Denis & Schiffermüller, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248782
Cepphis advenaria,Cepphis advenaria,Cepphis advenaria,Cepphis,Geometridae,Ennominae,Species,"(HÜBNER, [1790])",EBMSM0000000011100,EBMSM0000000011100,457332,2,2,395878 | 396584,Piège 1 - boisement feuillus jeunes - Sauvagney | Montmain 1,248983,248983,"Cepphis advenaria (Hübner, 1790)","Cepphis advenaria (Hübner, 1790)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248983
Charissa glaucinaria,Charissa glaucinaria,Charissa glaucinaria,Charissa,Geometridae,Ennominae,Species,"(HÜBNER, [1799])",EBMSM0000000011223,EBMSM0000000011223,457455,1,1,399055,Sous_col_mantet,458686,458686,"Charissa glaucinaria (Hübner, 1799)","Charissa glaucinaria (Hübner, 1799)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/458686
Charissa obscurata,Charissa obscurata,Charissa obscurata,Charissa,Geometridae,Ennominae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000011201,EBMSM0000000011201,457433,3,2,396584 | 399051,Montmain 1 | Solanetta_rnn_mantet,248963,248963,"Charissa obscurata (Denis & Schiffermüller, 1775)","Charissa obscurata (Denis & Schiffermüller, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248963
Charissa pullata,Charissa pullata,Charissa pullata,Charissa,Geometridae,Ennominae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000011214,EBMSM0000000011214,457446,1,1,399051,Solanetta_rnn_mantet,781820,781820,"Charissa pullata (Denis & Schiffermüller, 1775)","Charissa pullata (Denis & Schiffermüller, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/781820
Chesias rufata,Chesias rufata,Chesias rufata,Chesias,Geometridae,Larentiinae,Species,"(FABRICIUS, 1775)",EBMSM0000000012241,EBMSM0000000012241,458473,2,2,397630 | 399055,Maire 2 | Sous_col_mantet,248543,248543,"Chesias rufata (Fabricius, 1775)","Chesias rufata (Fabricius, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248543
Chiasmia clathrata,Chiasmia clathrata,Chiasmia clathrata,Chiasmia,Geometridae,Ennominae,Species,"(LINNAEUS, 1758)",EBMSM0000000011070,EBMSM0000000011070,457302,10,9,395441 | 395763 | 395767 | 396022 | 396414 | 396416 | 396712 | 396714 | 399055,côte de Mancy (Lons-le-Saunier) | Remoray Zh1 ouef | ZA 1 Oeufs | Remoray forêt2 oeufs | Varennes 1 | Varennes 2 | Piège 2 - aulnaie - marais de Saône | Piège 1 - boisement feuillus jeunes - Sauvagney | Sous_col_mantet,248995,248995,"Chiasmia clathrata (Linnaeus, 1758)","Chiasmia clathrata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248995
Chlorissa viridata,Chlorissa viridata,Chlorissa viridata,Chlorissa,Geometridae,Geometrinae,Species,"(LINNAEUS, 1758)",EBMSM0000000011524,EBMSM0000000011524,457756,1,1,395441,côte de Mancy (Lons-le-Saunier),248818,248818,"Chlorissa viridata (Linnaeus, 1758)","Chlorissa viridata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248818
Chloroclysta miata,Chloroclysta miata,Chloroclysta miata,Chloroclysta,Geometridae,Larentiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012068,EBMSM0000000012068,458300,1,1,399055,Sous_col_mantet,248570,248570,"Chloroclysta miata (Linnaeus, 1758)","Chloroclysta miata (Linnaeus, 1758)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248570
Chloroclysta siterata,Chloroclysta siterata,Chloroclysta siterata,Chloroclysta,Geometridae,Larentiinae,Species,"(HUFNAGEL, 1767)",EBMSM0000000012066,EBMSM0000000012066,458298,1,1,399055,Sous_col_mantet,248569,248569,"Chloroclysta siterata (Hufnagel, 1767)","Chloroclysta siterata (Hufnagel, 1767)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248569
Chloroclystis v-ata,Chloroclystis v-ata,Chloroclystis v-ata,Chloroclystis,Geometridae,Larentiinae,Species,"(HAWORTH, [1809])",EBMSM0000000012319,EBMSM0000000012319,458551,1,1,395447,Sur Mancy (Macornay),248593,248593,"Chloroclystis v-ata (Haworth, 1809)","Chloroclystis v-ata (Haworth, 1809)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248593
Cidaria fulvata,Cidaria fulvata,Cidaria fulvata,Cidaria,Geometridae,Larentiinae,Species,"(FORSTER, 1771)",EBMSM0000000012040,EBMSM0000000012040,458272,3,3,396416 | 396795 | 399051,Varennes 2 | Bure - sans-oeuf | Solanetta_rnn_mantet,248566,248566,"Cidaria fulvata (J.R. Forster, 1771)","Cidaria fulvata (J.R. Forster, 1771)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248566
Cleora cinctaria,Cleora cinctaria,Cleora cinctaria,Cleora,Geometridae,Ennominae,Species,"([DENIS & SCHIFFERMÜLLER], 1775)",EBMSM0000000011434,EBMSM0000000011434,457666,2,2,395441 | 395447,côte de Mancy (Lons-le-Saunier) | Sur Mancy (Macornay),248884,248884,"Cleora cinctaria (Denis & Schiffermüller, 1775)","Cleora cinctaria (Denis & Schiffermüller, 1775)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248884
Cleorodes lichenaria,Cleorodes lichenaria,Cleorodes lichenaria,Cleorodes,Geometridae,Ennominae,Species,"(HUFNAGEL, 1767)",EBMSM0000000011455,EBMSM0000000011455,457687,6,5,395764 | 395885 | 396710 | 397620 | 397624,Voutenay_Thalsansoeufs02 | Comolle 1 | Piège 1 - cariçaie - marais de Saône | Mesves_IDB1 | Mesves_IDB2,248874,248874,"Cleorodes lichenaria (Hufnagel, 1767)","Cleorodes lichenaria (Hufnagel, 1767)",species,Geometridae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/248874
