accepted_name,taxon_name,reported_names,genus,family,subfamily,taxon_rank,accepted_name_authorship,taxon_id,accepted_taxon_id,taxa_taxon_list_id,occurrence_count,location_count,location_ids,location_names,cd_nom,cd_ref,taxref_scientific_name,taxref_accepted_name,taxref_rank,taxref_family,taxref_order,taxref_status,taxref_vernacular_fr,taxref_match_type,taxref_match_note,inpn_url
Diacrisia sannio,Diacrisia sannio,Diacrisia sannio,Diacrisia,Erebidae,Arctiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012773,EBMSM0000000012773,459005,10,10,394742 | 395441 | 395725 | 395764 | 395765 | 395767 | 395768 | 396710 | 397620 | 399051,Vernay 1 | côte de Mancy (Lons-le-Saunier) | Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | Remoray ZH2 vide | ZA 1 Oeufs | ZA 2 vide | Piège 1 - cariçaie - marais de Saône | Mesves_IDB1 | Solanetta_rnn_mantet,249061,249061,"Diacrisia sannio (Linnaeus, 1758)","Diacrisia sannio (Linnaeus, 1758)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249061
Diaphora mendica,Diaphora mendica,Diaphora mendica,Diaphora,Erebidae,Arctiinae,Species,"(CLERCK, 1759)",EBMSM0000000012747,EBMSM0000000012747,458979,21,18,394742 | 395441 | 395725 | 395764 | 395767 | 395768 | 395812 | 395813 | 395886 | 396020 | 396416 | 396584 | 396712 | 396795 | 396800 | 397624 | 397629 | 397630,Vernay 1 | côte de Mancy (Lons-le-Saunier) | Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | ZA 1 Oeufs | ZA 2 vide | La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Comolle 2 | Remoray forêt1 vide | Varennes 2 | Montmain 1 | Piège 2 - aulnaie - marais de Saône | Bure - sans-oeuf | Bure - Oeuf | Mesves_IDB2 | Maire 1 | Maire 2,249064,249064,"Diaphora mendica (Clerck, 1759)","Diaphora mendica (Clerck, 1759)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249064
Eilema,Eilema,Eilema,Eilema,Erebidae,Arctiinae,Genus,,EBMSM0000000002003,EBMSM0000000002003,448235,1,1,399051,Solanetta_rnn_mantet,210806,210806,"Eilema Hübner, 1819","Eilema Hübner, 1819",genus,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/210806
Eilema caniola,Eilema caniola,Eilema caniola,Eilema,Erebidae,Arctiinae,Species,"(HÜBNER, [1803-1808])",EBMSM0000000012855,EBMSM0000000012855,459087,8,4,395447 | 395725 | 395764 | 399051,Sur Mancy (Macornay) | Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | Solanetta_rnn_mantet,249098,249098,"Eilema caniola (Hübner, 1808)","Eilema caniola (Hübner, 1808)",species,Erebidae,Lepidoptera,Accepted,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249098
Eilema complana,Eilema complana,Eilema complana,Eilema,Erebidae,Arctiinae,Species,"(LINNAEUS, 1758)",EBMSM0000000012850,EBMSM0000000012850,459082,16,13,394742 | 395441 | 395447 | 395725 | 395764 | 395886 | 396712 | 396795 | 396800 | 397629 | 397630 | 397631 | 399051,Vernay 1 | côte de Mancy (Lons-le-Saunier) | Sur Mancy (Macornay) | Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | Comolle 2 | Piège 2 - aulnaie - marais de Saône | Bure - sans-oeuf | Bure - Oeuf | Maire 1 | Maire 2 | Vernay 2 | Solanetta_rnn_mantet,249096,1015419,"Eilema complana (Linnaeus, 1758)","Manulea complana (Linnaeus, 1758)",species,Erebidae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249096
Eilema depressa,Eilema depressa,Eilema depressa,Eilema,Erebidae,Arctiinae,Species,"(ESPER, 1787)",EBMSM0000000012844,EBMSM0000000012844,459076,9,7,395764 | 396022 | 396584 | 396585 | 396714 | 396715 | 397630,Voutenay_Thalsansoeufs02 | Remoray forêt2 oeufs | Montmain 1 | Montmain 2 | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Maire 2,249093,1015440,"Eilema depressa (Esper, 1787)","Katha depressa (Esper, 1787)",species,Erebidae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249093
Eilema griseola,Eilema griseola,Eilema griseola,Eilema,Erebidae,Arctiinae,Species,"(HÜBNER, [1800-1803])",EBMSM0000000012846,EBMSM0000000012846,459078,8,8,395812 | 395813 | 395877 | 395878 | 396712 | 396714 | 396715 | 396795,La Truchère_dunes_boite_oeuf | La Truchère_tourbière | Piège 2 - boisement feuillus - Sauvagney | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - aulnaie - marais de Saône | Piège 1 - boisement feuillus jeunes - Sauvagney | Piège 2 - boisement feuillus - Sauvagney | Bure - sans-oeuf,249094,1015437,"Eilema griseola (Hübner, 1803)","Collita griseola (Hübner, 1803)",species,Erebidae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249094
Eilema lurideola,Eilema lurideola,Eilema lurideola,Eilema,Erebidae,Arctiinae,Species,"([ZINCKEN], 1817)",EBMSM0000000012848,EBMSM0000000012848,459080,10,10,395447 | 395764 | 395812 | 395885 | 395886 | 396584 | 396585 | 396800 | 397630 | 399051,Sur Mancy (Macornay) | Voutenay_Thalsansoeufs02 | La Truchère_dunes_boite_oeuf | Comolle 1 | Comolle 2 | Montmain 1 | Montmain 2 | Bure - Oeuf | Maire 2 | Solanetta_rnn_mantet,249095,1015435,"Eilema lurideola (Zincken, 1817)","Nyea lurideola (Zincken, 1817)",species,Erebidae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249095
Eilema pygmaeola,Eilema pygmaeola,Eilema pygmaeola,Eilema,Erebidae,Arctiinae,Species,"(DOUBLEDAY, 1847)",EBMSM0000000012859,EBMSM0000000012859,459091,4,4,395725 | 395764 | 395885 | 397631,Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | Comolle 1 | Vernay 2,249100,1015431,"Eilema pygmaeola (Doubleday, 1847)","Indalia pygmaeola (Doubleday, 1847)",species,Erebidae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249100
Eilema sororcula,Eilema sororcula,Eilema sororcula,Eilema,Erebidae,Arctiinae,Species,"(HUFNAGEL, 1766)",EBMSM0000000012865,EBMSM0000000012865,459097,10,8,394742 | 395725 | 395764 | 395877 | 395885 | 396585 | 396795 | 397629,Vernay 1 | Voutenay_ThalOeufs | Voutenay_Thalsansoeufs02 | Piège 2 - boisement feuillus - Sauvagney | Comolle 1 | Montmain 2 | Bure - sans-oeuf | Maire 1,249102,716692,"Eilema sororcula (Hufnagel, 1766)","Wittia sororcula (Hufnagel, 1766)",species,Erebidae,Lepidoptera,Synonym,,Exact,,https://inpn.mnhn.fr/espece/cd_nom/249102
